,tempmax,PM2.5 AVG,tempmin,condition_rainy,temp,dew,humidity,windspeed,winddir,sealevelpressure,visibility,solarenergy,sun_duration,cloudcover,search_hospital,cpi_health_PoP,cpi_Food_Beverages_PoP,cpi_health_YoY,vehicles_units_PoP,uvindex,cpi_FaB,cpi_health,cpi_tobacco_intoxicants,vehicles_units,cpi_tobacco_intoxicants_distributed,cpi_FaB_distributed
2022-07-24,40.2,100.0,27.057142857142857,5,30.87142857142857,23.485714285714288,67.24285714285715,17.228571428571428,123.95714285714288,1000.7428571428572,19.45714285714286,18.32857142857143,831.6928571428572,68.04285714285714,48,0.12945914844649,0.28666264333132,5.11432009626956,5.83446404341927,7.857142857142857,167.53154920557483,174.5030887752276,196.1873866111662,7747,48.575,43.725
2022-07-31,35.7,61.0,26.24285714285714,6,28.97142857142857,23.842857142857145,75.57142857142857,20.31428571428572,132.95714285714286,1003.3857142857142,18.7,15.414285714285716,823.3404761904761,77.94285714285715,0,0.12945914844649,0.28666264333132,5.11432009626956,-3.87573964497041,7.0,167.6,174.7,192.9,7796,48.65,43.75
2022-08-07,35.5,72.0,25.8,7,29.17142857142857,24.62857142857143,77.61428571428571,15.585714285714284,154.85714285714286,1000.4142857142856,18.74285714285714,19.342857142857145,813.7880952380953,61.871428571428574,28,0.01431024613624,0.37291169451074,4.73337327741163,2.24684518313327,8.285714285714286,168.43900623324117,174.89372753433994,189.65043454222473,8105,48.65,43.75
2022-08-14,36.8,82.0,26.085714285714285,4,30.057142857142857,24.11428571428572,71.68571428571428,12.285714285714286,133.52857142857144,999.3285714285714,20.142857142857142,21.414285714285715,803.2761904761904,49.0,34,0.01431024613624,0.37291169451074,4.73337327741163,-23.06843267108168,7.857142857142857,168.8812772893531,175.0886006190385,187.04963840094774,7502,48.65,43.75
2022-08-21,35.2,77.0,25.514285714285712,6,28.81428571428572,23.8,75.3,17.942857142857143,127.95714285714288,1001.9571428571428,19.928571428571427,18.857142857142858,791.9785714285715,60.6,44,0.01431024613624,0.37291169451074,4.73337327741163,29.1378635711491,8.428571428571429,169.30890996185715,175.2831538822204,184.8586794713579,8001,48.65,43.75
2022-08-28,35.1,86.0,25.52857142857143,7,29.15714285714285,24.02857142857143,74.75714285714285,15.271428571428572,191.18571428571428,1002.4142857142856,19.65714285714285,22.75714285714286,780.0833333333333,33.27142857142857,47,0.01431024613624,0.37291169451074,4.73337327741163,-0.06059993940006,8.714285714285714,169.71665419190788,175.4773706051771,183.03410370067414,8972,39.0,35.26
2022-09-04,36.1,76.0,25.74285714285714,4,29.685714285714287,22.7,67.11428571428571,11.328571428571427,213.6,1004.5571428571428,20.714285714285715,22.085714285714285,767.7428571428571,29.32857142857143,21,0.08009153318078,0.21164021164021,4.90137477585177,3.90096008084891,9.0,170.09925992065985,175.67123406919993,181.53245703611537,8939,39.0,35.26
2022-09-11,36.6,99.0,24.62857142857143,3,29.285714285714285,21.985714285714288,66.0,11.385714285714286,137.78571428571428,1005.7428571428572,20.62857142857143,22.185714285714287,755.0761904761904,14.757142857142858,46,0.08009153318078,0.21164021164021,4.90137477585177,-6.58496255228091,8.857142857142858,170.45147708926777,175.86472755558026,180.31028542490054,8435,39.0,35.26
2022-09-18,37.1,95.0,23.985714285714288,4,28.414285714285715,22.071428571428573,69.98571428571428,15.485714285714286,118.72857142857144,1002.7285714285716,20.785714285714285,21.071428571428573,742.1952380952381,22.357142857142858,23,0.08009153318078,0.21164021164021,4.90137477585177,1.89504373177843,8.142857142857142,170.76805563888632,176.05783434560954,179.3241348142485,7386,39.0,35.26
2022-09-25,35.5,105.0,23.15714285714285,5,26.02857142857143,21.571428571428573,78.02857142857142,15.685714285714283,83.97142857142858,1004.8714285714286,18.52857142857143,11.457142857142856,729.1785714285714,62.785714285714285,0,0.08009153318078,0.21164021164021,4.90137477585177,12.0784794604537,4.714285714285714,171.04374551067002,176.25053772057902,178.53055115137826,6219,39.0,35.26
2022-10-02,33.7,104.0,22.67142857142857,0,26.985714285714288,20.428571428571427,68.95714285714286,9.671428571428573,51.142857142857146,1006.0285714285714,20.6,20.414285714285715,716.1404761904762,8.571428571428571,55,0.08009153318078,0.21164021164021,4.90137477585177,-1.13967906637491,8.0,171.2733293032269,176.44282096178011,177.88622028709517,6769,48.975,44.45
2022-10-09,34.3,88.0,21.942857142857143,2,26.457142857142856,18.942857142857143,65.62857142857142,14.657142857142857,187.2428571428572,1008.657142857143,20.571428571428573,18.985714285714288,703.1476190476191,11.271428571428572,93,0.14245014245014,-0.05817335660268,5.247465712582,-3.20944388084478,8.0,171.45443489578818,176.6346673505042,177.3600171721749,9606,48.975,44.45
2022-10-16,31.8,153.0,20.52857142857143,2,24.75714285714286,16.271428571428572,62.02857142857143,12.642857142857142,159.0142857142857,1011.2428571428572,20.62857142857143,17.37142857142857,690.3119047619048,13.328571428571427,28,0.14245014245014,-0.05817335660268,5.247465712582,-13.25393044306813,7.428571428571429,171.5897030866749,176.82606016804272,176.94229195791485,7282,48.975,44.45
2022-10-23,32.1,198.0,19.714285714285715,0,24.82857142857143,11.828571428571427,46.3,12.185714285714283,71.57142857142857,1013.4857142857144,20.75714285714286,17.8,677.7285714285715,4.0,0,0.14245014245014,-0.05817335660268,5.247465712582,-10.31414762741652,7.285714285714286,171.6822849469165,177.01698269568692,176.62558078915083,11287,48.975,44.45
2022-10-30,31.5,300.0,18.728571428571428,0,24.042857142857144,9.028571428571428,40.42857142857143,10.342857142857143,92.14285714285714,1012.157142857143,20.457142857142856,17.02857142857143,665.5595238095239,0.1285714285714286,18,0.14245014245014,-0.05817335660268,5.247465712582,6.7360685854256,7.0,171.73533154754242,177.20741821472825,176.40241981071867,9237,39.26,35.92
2022-11-06,31.7,319.0,19.11428571428572,0,24.2,11.428571428571429,46.871428571428574,13.94285714285714,126.88571428571429,1013.2714285714284,20.37142857142857,15.157142857142857,653.9595238095237,28.728571428571428,99,0.04532577903683,0.11661807580175,-15.81201665675192,34.469305794607,6.714285714285714,171.75199395958225,177.39735000645808,176.26534516745403,15956,39.26,35.92
2022-11-13,31.4,408.0,16.942857142857143,2,21.942857142857143,8.071428571428571,43.54285714285714,11.885714285714286,283.5142857142857,1015.6428571428572,20.4,14.485714285714286,643.1357142857142,28.1,58,0.04532577903683,0.11661807580175,-15.81201665675192,-21.54620701425036,6.571428571428571,171.73542325406558,177.58676135216774,176.20689300419278,10803,39.26,35.92
2022-11-20,27.7,210.0,14.485714285714286,0,19.67142857142857,6.0,42.98571428571428,12.6,253.37142857142857,1015.2428571428572,20.52857142857143,13.471428571428572,633.3261904761905,24.428571428571427,66,0.04532577903683,0.11661807580175,-15.81201665675192,50.0652599521427,6.0,171.68877050202187,177.77563553314863,176.21959946577073,10567,39.26,35.92
2022-11-27,26.8,243.0,12.62857142857143,0,18.5,1.542857142857143,34.57142857142857,11.514285714285714,287.1428571428572,1013.8571428571428,20.61428571428572,13.87142857142857,624.797619047619,14.242857142857142,0,0.04532577903683,0.11661807580175,-15.81201665675192,-19.83764586504313,6.0,171.6151867744806,177.96395583069216,176.29600069702363,11122,39.26,35.92
2022-12-04,26.0,299.0,11.55714285714286,0,18.04285714285714,2.8714285714285714,38.91428571428571,10.014285714285714,166.90000000000003,1014.8285714285714,20.385714285714283,12.742857142857144,617.8142857142857,25.985714285714288,93,0.04532577903683,0.11661807580175,4.86069946650862,71.1663652802893,5.857142857142857,171.51782314247134,178.15170552608964,176.42863284278727,11248,49.225,44.575
2022-12-11,26.2,262.0,11.485714285714286,0,17.257142857142856,2.585714285714286,39.6,14.614285714285714,334.35714285714283,1015.7285714285716,20.47142857142857,12.4,612.6333333333333,10.714285714285714,21,0.09892594686263,-0.27536231884058,31.5945465323059,-34.95325128096772,5.857142857142857,171.39983067702363,178.33886790063247,176.61003204789748,12679,49.225,44.575
2022-12-18,25.4,332.0,9.37142857142857,0,15.828571428571427,-0.2857142857142857,35.55714285714286,13.271428571428572,325.6428571428572,1015.157142857143,20.5,12.642857142857142,609.4880952380953,0.7000000000000001,0,0.09892594686263,-0.27536231884058,31.5945465323059,3.69498132207244,6.0,171.2643604491669,178.52542623561197,176.83273445719004,6943,49.225,44.575
2022-12-25,22.2,251.0,7.728571428571429,0,12.3,-0.1285714285714285,46.142857142857146,10.614285714285714,333.9142857142857,1015.5571428571428,20.2,12.4,608.5,17.7,0,0.09892594686263,-0.27536231884058,31.5945465323059,4.15850888871486,5.857142857142857,171.11456352993068,178.7113638123196,177.0892762155007,9823,49.225,44.575
